BIG,20131014,0.2764,0.2786,0.2775,164,112,17759,16801
BIIB,20131014,0.3417,0.3442,0.3429,2448,1061,47709,43014
BIL,20131014,0,0,0,0,0,0,5
BIN,20131014,0.3306,0.3607,0.3456,0,0,45,105
BIO,20131014,0.4074,0.4441,0.4258,11,20,204,102
BIOD,20131014,1.0753,1.2951,1.1852,106,20,20780,7709
BIOL,20131014,0,0,0,1,0,1072,218
BIOS,20131014,0.819,0.9029,0.8609,307,25,6430,2782
BIP,20131014,0.3247,0.364,0.3443,6,4,1382,1150
BIRT,20131014,0.5771,0.7076,0.6424,0,0,25,19
BIS,20131014,0.0889,0.0975,0.0932,41,0,25,15
BITA,20131014,0.961,1.1554,1.0582,74,19,2226,1077
BIV,20131014,0.0574,0.0884,0.0729,0,6,13,170
BJRI,20131014,0.4906,0.4857,0.4881,3,157,1142,1965
BK,20131014,0.2477,0.2876,0.2676,3220,2721,39593,45469
BKCC,20131014,0.4123,0.3772,0.3947,0,0,2868,1540
BKD,20131014,0.3782,0.404,0.3911,134,21,6508,5920
BKE,20131014,0.3297,0.3657,0.3477,53,18,1449,3935
BKEP,20131014,5.7901,5.9366,5.8633,0,0,0,0
BKF,20131014,0.212,0.2403,0.2261,0,0,60,31
